reading: ../download/bike_crashes.csv
147 GRAND ST and ELM STREET, Trenton City, NJ
148 CHESTNUT AVE and CR 635, Trenton City, NJ
149 MERCER COUNTY 626 and LOCUST STREET, Trenton City, NJ
150 INGHAM ST and RT 206S, Trenton City, NJ
151 MERCER COUNTY 635 and CUYLER AVENUE, Trenton City, NJ
152 ROUTE 579 and BRUCE PARK DRIVE, Trenton City, NJ
153 ENTERPRISE AVE and MULBERRY STREET, Trenton City, NJ
154 ANDERSON ST and RUSLING STREET, Trenton City, NJ
155 CASS ST and WOOLVERTON AVENUE, Trenton City, NJ
156 MERCER COUNTY 653 and CALHOUN STS., Trenton City, NJ
157 MERCER COUNTY 622 and E STATE ST, Trenton City, NJ
158 RANDALL AVE, Trenton City, NJ
159 PROSPECT ST and STUYVESANT AVENUE, Trenton City, NJ
160 ANDERSON ST and RT 206, Trenton City, NJ
161 US 206 and BEATTY STREET, Trenton City, NJ
162 CASS ST and WOLVERTON AVENUE, Trenton City, NJ
163 US 206 SOUTHBOUND and SANFORD AVENUE, Trenton City, NJ
164 SOUTHARD ST and PROCTOR STREET, Trenton City, NJ
165 US 206 and SOUTHARD STREET, Trenton City, NJ
166 EVERETT ST, Washington Twp  (Mercer Co), NJ
167 CANAL POINTE BLVD and BAYBERRY DRIVE, West Windsor Township, NJ
168 ROUTE 535, East Windsor Township, NJ
169 DEVONSHIRE DR and DORCHESTER DRIVE, East Windsor Township, NJ
170 US 130 and TOWN CENTER DRIVE, East Windsor Township, NJ
171 70 ROUTE 571 WEST and EAST WINDSOR VILLAGE-TARGET LOT, East Windsor Township, NJ
172 NJ 33 and RT 133, East Windsor Township, NJ
173 US 130 and OLD CRANBURY ROAD, East Windsor Township, NJ
174 ROUTE 579 and SILVIA STREET, Ewing Township, NJ
175 MERCER COUNTY 622 and RT 31, Ewing Township, NJ
176 ALBEMARLE AVE and GREENVILLE AVENUE, Ewing Township, NJ
177 ROUTE 535 and CR 614, Hamilton Twp (Mercer Co), NJ
178 KLOCKNER RD and LAMONT AVENUE, Hamilton Twp (Mercer Co), NJ
